Date,Open,High,Low,Close,Volume,Ticker,log_return,target_next_log_return
04-01-2006,10.73,10.85,10.64,10.71,155225609,AAPL,0.002805051,-0.007497692
05-01-2006,10.69,10.7,10.54,10.63,112396081,AAPL,-0.007497692,0.025082597
06-01-2006,10.75,10.96,10.65,10.9,176139334,AAPL,0.025082597,-0.003676475
09-01-2006,10.96,11.03,10.82,10.86,168861224,AAPL,-0.003676475,0.061599122
10-01-2006,10.89,11.7,10.83,11.55,570088246,AAPL,0.061599122,0.037387532
11-01-2006,11.98,12.11,11.8,11.99,373548882,AAPL,0.037387532,0.004161471
12-01-2006,12.14,12.34,11.95,12.04,320201966,AAPL,0.004161471,0.01565751
13-01-2006,12.14,12.29,12.09,12.23,194153393,AAPL,0.01565751,-0.010686497
17-01-2006,12.24,12.34,11.98,12.1,209215265,AAPL,-0.010686497,-0.026802274
18-01-2006,11.87,12.01,11.69,11.78,303279501,AAPL,-0.026802274,-0.0424858
19-01-2006,11.61,11.67,11.25,11.29,424100026,AAPL,-0.0424858,-0.037910677
20-01-2006,11.33,11.43,10.83,10.87,284634847,AAPL,-0.037910677,0.020938407
23-01-2006,10.87,11.37,10.86,11.1,264942587,AAPL,0.020938407,-0.021858794
24-01-2006,11.25,11.35,10.82,10.86,285661873,AAPL,-0.021858794,-0.024232313
25-01-2006,11.06,11.07,10.46,10.6,319019939,AAPL,-0.024232313,-0.025801718
26-01-2006,10.65,10.78,10.28,10.33,295599087,AAPL,-0.025801718,-0.003879733
27-01-2006,10.42,10.51,10.16,10.29,238597205,AAPL,-0.003879733,0.040005335
30-01-2006,10.17,10.94,10.12,10.71,349600251,AAPL,0.040005335,0.007441895
31-01-2006,10.79,10.91,10.54,10.79,228385745,AAPL,0.007441895,-0.001855288
01-02-2006,10.71,10.92,10.66,10.77,130335751,AAPL,-0.001855288,-0.044620596
02-02-2006,10.73,10.77,10.29,10.3,176898442,AAPL,-0.044620596,-0.003891055
03-02-2006,10.32,10.4,10.15,10.26,173040616,AAPL,-0.003891055,-0.065448617
06-02-2006,10.29,10.36,9.53,9.61,413058506,AAPL,-0.065448617,0.005189425
07-02-2006,9.75,9.93,9.53,9.66,347308367,AAPL,0.005189425,0.017445286
08-02-2006,9.78,9.87,9.43,9.83,238316400,AAPL,0.017445286,-0.057577387
09-02-2006,9.87,9.89,9.22,9.28,287548464,AAPL,-0.057577387,0.035982718
10-02-2006,9.31,9.67,8.99,9.62,440118924,AAPL,0.035982718,-0.040302379
13-02-2006,9.52,9.54,9.23,9.24,220907862,AAPL,-0.040302379,0.044451763
14-02-2006,9.3,9.73,9.29,9.66,290278597,AAPL,0.044451763,0.023530497
15-02-2006,9.59,9.95,9.54,9.89,290010133,AAPL,0.023530497,0.019029117
16-02-2006,9.99,10.14,9.93,10.08,238485674,AAPL,0.019029117,-0.003976148
17-02-2006,10.04,10.13,9.94,10.04,143999667,AAPL,-0.003976148,-0.017077261
21-02-2006,10.08,10.11,9.81,9.87,194941775,AAPL,-0.017077261,0.031906994
22-02-2006,9.86,10.24,9.71,10.19,244625822,AAPL,0.031906994,0.005870858
23-02-2006,10.26,10.43,10.2,10.25,214376771,AAPL,0.005870858,-0.003910073
24-02-2006,10.31,10.41,10.17,10.21,133695940,AAPL,-0.003910073,-0.006879634
27-02-2006,10.28,10.3,10.09,10.14,197844178,AAPL,-0.006879634,-0.036148514
28-02-2006,10.23,10.34,9.73,9.78,316873795,AAPL,-0.036148514,0.009160369
01-03-2006,9.83,9.93,9.72,9.87,190969667,AAPL,0.009160369,0.007067167
02-03-2006,9.86,10,9.81,9.94,156396212,AAPL,0.007067167,-0.027538711
03-03-2006,9.91,9.99,9.65,9.67,184453752,AAPL,-0.027538711,-0.033651966
06-03-2006,9.67,9.67,9.28,9.35,228326098,AAPL,-0.033651966,0.012752564
07-03-2006,9.39,9.56,9.3,9.47,218252139,AAPL,0.012752564,-0.009549144
08-03-2006,9.47,9.6,9.34,9.38,163362941,AAPL,-0.009549144,-0.027014068
09-03-2006,9.43,9.5,9.12,9.13,200066888,AAPL,-0.027014068,-0.011013327
10-03-2006,9.14,9.21,8.92,9.03,260848945,AAPL,-0.011013327,0.038027396
13-03-2006,9.29,9.47,9.26,9.38,215353642,AAPL,0.038027396,0.025264502
14-03-2006,9.4,9.62,9.36,9.62,160606033,AAPL,0.025264502,-0.016771882
